Epoch,Loss,ValLoss,LR,HR_Loss,WV_Loss,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,TemporalVar,MAE,RMSE,Pearson,CCC,GPU Memory
1,7566.05224609375,5539.555338541667,1.000000e-03,5538.7404,0.8150,16.3109,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.341680e+03,4.408047e+02,3.442023e+01,2.519406e+01,4.694307e+01,1.215066e+02,3.427731e+01,97.08,97.49,1.0246,0.0003,73.9266,74.4227,0.2467,0.0,528.2
2,4936.900748697916,3040.565673828125,1.000000e-03,3039.7402,0.8255,35.7752,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.965100e+03,3.440285e+02,7.067609e-03,9.593646e-03,4.116918e-02,1.276028e-01,7.775975e-02,844005.37,76711.93,1.0546,0.0001,54.4623,55.1338,0.4452,0.0,528.2
3,2479.684777832031,920.1859537760416,1.000000e-03,919.3474,0.8385,61.1558,0.000005,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.584963e+03,3.988088e+02,1.231863e-02,1.470515e-02,5.630171e-02,1.180679e-01,6.846358e-02,534553.23,96181.99,1.0876,0.0002,29.0817,30.3207,0.1759,0.0,528.2
4,739.7351079305013,74.53857930501302,1.000000e-03,73.6703,0.8683,90.4972,0.000114,8.5792,-587727.1211,0.000000e+00,0.000000e+00,0.000000e+00,4.046071e+03,2.633390e+02,1.261215e-02,1.448911e-02,5.120232e-02,9.535170e-02,6.165281e-02,320807.45,65626.71,1.1203,0.0004,8.5437,8.5831,-0.1695,0.0,528.2
5,317.9126927693685,222.28069559733072,1.000000e-03,221.3899,0.8908,102.3942,0.000008,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.688414e+03,3.230713e+02,7.538347e-02,7.537534e-02,2.198938e-01,3.687280e-01,2.105968e-01,35663.18,12765.69,1.1320,0.0001,12.1568,14.8792,0.0047,0.0,528.2
6,414.00788122812907,90.87720998128255,1.000000e-03,90.0176,0.8596,94.2890,0.000012,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.604932e+03,3.186782e+02,1.964229e-03,2.599898e-03,1.065371e-02,3.702602e-02,2.836403e-02,1326185.40,91839.29,1.1261,0.0000,8.5436,9.4878,0.4003,0.0,528.2
7,410.3725502649943,125.10641479492188,1.000000e-03,124.2584,0.8480,97.3548,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.349341e+03,3.546559e+02,2.198557e-03,2.846247e-03,1.121916e-02,2.451354e-02,1.897754e-02,1523426.91,176489.72,1.1278,0.0000,8.5436,11.1471,-0.0295,0.0,528.2
8,342.1517011006673,99.71585591634114,1.000000e-03,98.8715,0.8443,95.2643,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.897533e+03,3.435589e+02,2.480746e-03,3.097711e-03,1.188929e-02,2.424009e-02,1.817731e-02,1168008.88,159403.85,1.1260,0.0000,8.5436,9.9434,-0.3718,0.0,528.2
9,331.7270773569743,137.34019978841147,1.000000e-03,136.5011,0.8391,98.1683,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.304048e+03,2.289626e+02,1.876484e-03,2.173505e-03,7.981887e-03,1.665053e-02,1.186463e-02,1227853.73,194194.66,1.1282,0.0000,8.5436,11.6834,0.1005,0.0,528.2
10,484.5694352467855,93.09397888183594,1.000000e-03,92.2452,0.8488,94.5552,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.601164e+03,4.025888e+02,3.274233e-03,3.884062e-03,1.401462e-02,2.790131e-02,1.747851e-02,1099849.83,206033.84,1.1253,0.0000,8.5436,9.6044,0.0074,0.0,528.2
11,396.44720153808595,120.16919962565105,1.000000e-03,119.3179,0.8513,96.9988,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.743942e+03,2.300127e+02,1.004788e-03,1.220639e-03,4.663018e-03,9.817880e-03,7.927048e-03,2730865.69,346149.27,1.1269,0.0000,8.5436,10.9233,0.6816,0.0,528.2
12,288.83556547164915,119.5903828938802,1.000000e-03,118.7222,0.8682,96.9546,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.432261e+03,2.128465e+02,4.507084e-04,6.466503e-04,2.955471e-03,8.042046e-03,6.662217e-03,5396530.01,365082.90,1.1270,0.0000,8.5436,10.8960,0.0000,0.0,528.2
13,311.8250850041707,147.07206217447916,1.000000e-03,146.1873,0.8848,98.7571,0.000008,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.920075e+03,2.566531e+02,5.925854e-04,8.118315e-04,3.609132e-03,9.518237e-03,7.848157e-03,4927686.56,372071.46,1.1286,0.0000,8.7171,12.0908,-0.5081,0.0,528.2
14,343.53161379496254,97.17586771647136,1.000000e-03,96.2514,0.9245,94.9965,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.499442e+03,2.124916e+02,7.344975e-04,8.761500e-04,3.476028e-03,8.667095e-03,7.451699e-03,3402928.16,335419.11,1.1254,0.0000,8.5436,9.8108,-0.2506,0.0,528.2
15,333.9408843994141,126.93411254882812,1.000000e-03,125.9729,0.9612,97.4742,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.828678e+03,2.731109e+02,7.697467e-04,9.616585e-04,3.880758e-03,9.999277e-03,8.685653e-03,3674817.08,325672.51,1.1271,0.0000,8.5436,11.2238,-0.5047,0.0,528.2
16,381.9023723602295,117.18640899658203,1.000000e-03,116.2450,0.9415,96.7676,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.318403e+03,1.624195e+02,3.066148e-04,3.888743e-04,1.613946e-03,4.937323e-03,4.230264e-03,7561289.07,548051.56,1.1263,0.0000,8.5436,10.7817,-0.4739,0.0,528.2
17,346.04248666763306,162.21519470214844,1.000000e-03,161.2517,0.9635,99.5996,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.910690e+03,2.227986e+02,3.126108e-04,4.441732e-04,2.025786e-03,7.056752e-03,5.336019e-03,9310906.76,545479.73,1.1286,0.0000,9.3621,12.6985,0.0541,0.0,528.2
18,319.0718490600586,94.12425740559895,1.000000e-03,93.1505,0.9738,94.6588,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.367668e+03,1.781512e+02,3.312060e-04,4.097435e-04,1.850679e-03,6.206518e-03,4.469057e-03,7148626.35,529791.33,1.1244,0.0000,8.5436,9.6514,0.0593,0.0,528.2
19,301.77582295735675,142.47429656982422,1.000000e-03,141.4942,0.9801,98.4771,0.000006,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.544641e+03,1.842118e+02,2.410073e-04,3.211120e-04,1.517142e-03,5.015240e-03,4.070842e-03,10558358.37,625089.59,1.1274,0.0000,8.6238,11.8951,0.0045,0.0,528.2
20,365.6938725789388,81.29977671305339,1.000000e-03,80.3242,0.9756,92.8301,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.552039e+03,1.948954e+02,2.613384e-04,3.200292e-04,1.395554e-03,4.681616e-03,4.682675e-03,9765264.51,544995.86,1.1226,0.0000,8.5436,8.9624,-0.4170,0.0,528.2
21,379.92830969492593,125.41805521647136,1.000000e-03,124.4478,0.9702,97.3680,0.000008,8.5792,-59.9098,0.000000e+00,0.000000e+00,0.000000e+00,2.908572e+03,2.353431e+02,2.923061e-04,3.861226e-04,1.663391e-03,5.458428e-03,5.410416e-03,9950433.45,537587.48,1.1263,0.0000,8.5436,11.1556,nan,0.0,528.2
22,380.86542660395304,110.72627258300781,1.000000e-03,109.7646,0.9617,96.2510,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.607461e+03,1.733238e+02,2.566034e-04,3.235210e-04,1.425084e-03,3.779029e-03,3.339539e-03,10161443.37,780784.67,1.1257,0.0000,8.5436,10.4769,-0.0182,0.0,528.2
23,332.5831704457601,80.40351104736328,1.000000e-03,79.4745,0.9290,92.6607,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.872448e+03,2.347535e+02,2.906221e-04,4.098635e-04,2.038900e-03,6.065238e-03,5.795940e-03,9883790.63,495596.49,1.1225,0.0000,8.5436,8.9148,0.5047,0.0,528.2
24,389.0901580810547,227.65677897135416,1.000000e-03,226.7416,0.9152,102.6124,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.193550e+03,2.331314e+02,2.380031e-04,3.343499e-04,1.533281e-03,4.235564e-03,3.771226e-03,13418101.65,846820.09,1.1298,0.0000,12.3749,15.0579,-0.2536,0.0,528.2
25,504.0460287729899,74.62396494547527,1.000000e-03,73.7146,0.9093,90.5723,0.000007,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.165133e+03,2.134612e+02,3.946164e-04,4.973050e-04,1.880741e-03,5.035199e-03,3.642483e-03,8020784.24,868949.32,1.1200,0.0000,8.5436,8.5857,-0.2536,0.0,528.2
26,354.5607924938202,128.27691650390625,1.000000e-03,127.3667,0.9102,97.5699,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,1.845431e+03,1.020294e+02,1.697923e-04,1.940936e-04,7.536574e-04,2.214202e-03,2.011486e-03,10868754.20,917446.97,1.1253,0.0000,8.5436,11.2857,0.0244,0.0,528.2
27,333.88507817586265,186.06689961751303,1.000000e-03,185.1669,0.9000,100.7999,0.000005,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.021158e+03,1.987451e+02,1.364299e-04,1.694923e-04,7.826032e-04,2.264825e-03,1.893943e-03,22144387.95,1595167.94,1.1277,0.0000,10.5624,13.6076,-0.2878,0.0,528.2
28,402.2622678120931,76.17347462972005,1.000000e-03,75.2761,0.8973,91.5312,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.186745e+03,2.272767e+02,2.491468e-04,3.186183e-04,1.607342e-03,4.727677e-03,3.873541e-03,12790631.15,822695.71,1.1206,0.0000,8.5436,8.6762,0.5047,0.0,528.2
29,352.85741704305013,144.64545186360678,1.000000e-03,143.7431,0.9024,98.6125,0.000004,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.742334e+03,1.730804e+02,1.433304e-04,1.678886e-04,7.869966e-04,2.390836e-03,2.144358e-03,19132952.32,1278860.14,1.1256,0.0000,8.6689,11.9893,0.7266,0.0,528.2
